FileName	branch-instructions	branch-misses	bus-cycles	cache-misses	cache-references	cpu-cycles	instructions	ref-cycles	alignment-faults	context-switches	cpu-clock	cpu-migrations	dummy	emulation-faults	major-faults	minor-faults	page-faults	task-clock	L1-dcache-load-misses	L1-dcache-loads	L1-dcache-prefetches	L1-dcache-store-misses	L1-dcache-stores	L1-icache-load-misses	L1-icache-loads	LLC-load-misses	LLC-loads	LLC-store-misses	LLC-stores	branch-load-misses	branch-loads	dTLB-load-misses	dTLB-loads	dTLB-store-misses	dTLB-stores	iTLB-load-misses	iTLB-loads	branch-instructions	branch-misses	bus-cycles	cache-misses	cache-references
reading.c_simple_ladder_attack_line4728.novec 876,845 29,543 1,341,757 6,020 226,801 7,937,149 4,462,104 11,784,555 0 65 3.719540 0 0 0 0 529 529 3.944592 202,728 1,733,663 11,106 179,643 856,109 66,659 5,590,751 3,896 78,665 1,974 6,914 28,711 865,197 14,666 1,759,231 2,169 861,093 1,014 4,432,354 870,708 27,965 1,359,969 8,081 229,206
score.c_close_bubbles_line173.novec 1,238,966 31,066 1,467,169 7,007 227,736 8,534,992 5,952,315 12,744,747 0 66 4.037267 3 0 0 0 531 531 4.098969 207,107 2,143,256 12,897 182,228 1,110,399 69,082 6,410,194 3,967 80,610 2,205 7,473 30,917 1,219,395 15,851 2,152,255 2,587 1,102,881 1,003 5,927,654 1,228,916 31,057 1,423,133 9,273 232,182
score.c_close_bubbles_line231.novec 1,239,860 31,732 1,341,138 5,212 233,025 8,444,588 5,973,364 12,902,013 0 71 4.110025 0 0 0 0 530 531 4.297436 202,354 2,149,887 10,800 183,217 1,101,225 69,777 6,240,639 4,077 78,574 2,113 7,197 31,527 1,229,728 16,543 2,143,490 2,424 1,105,014 1,013 5,945,048 1,217,179 31,059 1,419,704 7,373 234,989
surround.c_compute_surroundings_line131.novec 991,451 27,003 1,288,552 8,686 219,427 8,114,405 4,895,304 11,280,663 0 67 3.917364 0 0 0 0 526 526 3.788555 202,724 1,864,562 10,749 174,958 955,625 63,784 5,738,120 3,475 77,694 1,826 6,715 27,530 982,765 14,547 1,857,221 2,528 952,522 903 4,953,509 991,393 27,117 1,304,265 9,284 216,676
surround.c_compute_surroundings_line144.novec 985,788 27,447 1,306,972 10,074 220,904 7,533,477 4,914,635 11,843,055 0 66 3.920381 0 0 0 0 526 526 4.020505 197,263 1,865,562 10,941 178,577 950,687 64,193 5,415,066 2,850 75,476 1,735 6,943 26,910 983,684 15,885 1,863,941 2,331 953,475 893 4,900,974 991,047 26,645 1,204,558 6,460 219,468
surround.c_compute_surroundings_line179.novec 998,414 27,138 1,333,657 6,221 215,722 7,815,707 4,881,754 11,573,217 0 64 3.736599 0 0 0 0 526 526 3.763559 211,690 1,867,539 10,961 178,544 959,165 62,758 5,601,064 4,238 78,962 2,157 7,007 26,540 981,228 15,815 1,858,569 2,458 959,864 903 4,947,055 994,629 27,157 1,236,095 9,996 214,830
surround.c_compute_surroundings_line221.novec 856,554 27,759 1,287,370 7,797 222,022 8,489,832 4,406,580 10,768,347 0 66 3.784152 0 0 0 0 528 528 3.867258 205,845 1,699,645 11,050 179,498 836,506 65,419 5,474,353 3,276 77,970 2,287 6,738 28,064 842,735 14,710 1,700,452 2,317 841,015 948 4,320,523 843,487 27,592 1,228,953 9,322 221,753
surround.c_compute_surroundings_line223.novec 846,186 28,129 1,235,424 9,592 220,656 6,964,844 4,297,615 11,558,016 0 46 4.117056 0 0 0 0 529 528 3.519525 202,697 1,703,498 10,851 178,463 837,617 64,666 5,448,477 3,886 78,440 1,964 6,857 27,870 842,098 15,045 1,694,442 2,419 838,125 969 4,335,330 844,432 27,127 1,223,051 8,540 225,521
surround.c_compute_surroundings_line267.novec 1,158,488 29,258 1,378,691 7,970 231,842 8,179,267 5,619,655 12,549,717 0 70 4.189078 0 0 0 0 529 529 4.220203 203,916 2,061,374 10,983 178,243 1,065,274 66,581 6,139,457 2,897 78,914 2,273 7,040 29,426 1,136,791 15,263 2,063,823 2,179 1,068,776 1,033 5,564,122 1,146,331 29,770 1,361,914 10,374 226,520
surround.c_compute_surroundings_line298.novec 1,173,778 28,292 1,365,447 7,560 224,107 8,113,020 5,708,005 11,925,513 0 66 3.900754 0 0 0 0 527 528 4.126684 201,977 2,089,775 10,804 178,550 1,100,044 65,453 6,072,175 4,323 78,235 2,304 6,811 27,994 1,163,125 15,468 2,081,525 2,375 1,099,344 1,006 5,708,110 1,160,660 27,219 1,376,837 9,649 223,087
surround.c_compute_surroundings_line313.novec 1,306,332 29,345 1,405,054 8,269 233,388 8,458,794 6,291,686 12,469,446 0 76 4.367789 0 0 0 0 528 528 4.357035 207,324 2,244,725 10,613 179,231 1,199,082 68,080 6,556,856 4,241 77,414 1,985 7,182 29,044 1,300,655 14,412 2,238,443 2,451 1,199,227 1,010 6,339,850 1,306,739 29,648 1,388,242 8,478 228,351
surround.c_compute_surroundings_line395.novec 2,143,716 34,100 1,046,734 18,493 365,593 14,944,482 9,222,759 8,828,946 0 192 8.196927 1 0 0 0 532 531 7.627491 358,044 3,459,912 14,401 637,289 2,402,336 110,950 11,650,470 6,885 116,125 7,126 14,005 33,637 2,006,151 15,613 2,352,711 2,660 2,212,397 997 9,487,187 2,136,577 33,871 1,506,964 16,778 357,319
utils.c_superstring_add_string_line1785.novec 1,108,355 29,075 1,448,472 9,826 216,169 8,139,397 5,394,962 12,096,441 0 69 4.063747 0 0 0 0 529 530 3.918837 199,842 1,980,312 11,074 179,314 1,023,400 65,917 5,868,469 3,822 76,126 1,937 7,021 28,738 1,100,068 15,888 1,997,554 2,324 1,026,367 996 5,364,032 1,103,464 29,444 1,306,420 9,319 221,808
