FileName	branch-instructions	branch-misses	bus-cycles	cache-misses	cache-references	cpu-cycles	instructions	ref-cycles	alignment-faults	context-switches	cpu-clock	cpu-migrations	dummy	emulation-faults	major-faults	minor-faults	page-faults	task-clock	L1-dcache-load-misses	L1-dcache-loads	L1-dcache-prefetches	L1-dcache-store-misses	L1-dcache-stores	L1-icache-load-misses	L1-icache-loads	LLC-load-misses	LLC-loads	LLC-store-misses	LLC-stores	branch-load-misses	branch-loads	dTLB-load-misses	dTLB-loads	dTLB-store-misses	dTLB-stores	iTLB-load-misses	iTLB-loads	
dragon.c_crude_dragon_weakness_line2057.novec 838,227 27,392 1,265,900 9,759 217,680 7,346,869 4,244,844 11,377,737 0 65 4.205961 0 0 0 0 531 532 4.014640 200,432 1,681,764 10,704 178,395 826,045 63,169 5,545,536 2,629 76,629 2,173 6,814 27,261 833,758 16,325 1,682,191 2,302 828,119 919 4,190,169
dragon.c_dragon_escape_line1729.novec 1,140,555 28,633 1,398,159 9,926 228,958 8,138,224 5,552,014 12,087,117 0 67 4.291275 0 0 0 0 529 530 3.868900 204,059 2,030,728 12,862 179,756 1,058,155 67,066 5,710,191 2,695 78,471 1,769 7,615 28,967 1,134,089 16,657 2,040,702 2,350 1,062,321 967 5,562,925
filllib.c_filllib_confirm_safety_line511.novec 978,001 29,688 1,239,855 8,415 225,645 8,040,325 4,866,574 11,419,047 0 66 3.837371 0 0 0 0 528 528 3.853870 201,859 1,848,075 11,124 181,167 919,278 66,520 5,456,888 4,548 78,102 2,183 7,316 28,699 967,661 15,809 1,847,056 2,346 922,687 966 4,868,300
fuseki.c_openregion_line72.novec 968,426 28,152 1,311,753 9,445 217,772 7,722,398 4,803,582 11,830,257 0 61 3.866969 0 0 0 0 527 527 3.840251 204,585 1,842,982 10,582 177,202 912,790 66,417 5,835,471 2,960 76,730 2,332 7,056 27,867 958,388 16,195 1,829,321 2,620 918,009 922 4,771,471
fuseki.c_set_symmetries_line89.novec 961,589 28,423 1,306,217 9,313 217,943 7,246,871 4,773,865 11,308,662 0 64 3.936491 0 0 0 0 526 526 3.698377 203,276 1,834,725 11,193 178,520 922,391 64,155 5,639,585 4,478 79,039 1,958 7,302 28,469 956,144 16,574 1,824,882 2,511 915,945 919 4,783,198
hash.c_hashdata_recalc_line196.novec 1,112,374 28,841 1,010,957 5,772 507,270 21,295,354 5,063,599 8,918,613 0 5 3.007321 0 0 0 0 565 570 11.000379 139,425 3,867,420 9,974 101,369 857,974 46,143 4,376,436 1,647 62,033 809 5,405 27,687 1,094,284 14,848 1,687,881 2,121 2,749,141 1,231 5,063,004
influence.c_accumulate_influence_line178.novec 815,211 26,054 1,244,857 7,596 207,592 7,200,744 4,157,745 10,949,391 0 64 3.776481 0 0 0 0 510 510 4.057440 201,381 1,651,607 10,835 176,336 811,686 59,770 5,433,097 3,329 77,348 1,860 6,513 26,379 812,050 16,287 1,663,327 3,140 822,695 784 4,208,903
influence.c_accumulate_influence_line277.novec 1,468,489 33,307 1,543,833 9,236 258,792 9,392,596 6,916,572 14,050,125 0 69 4.622272 0 0 0 0 536 536 4.525243 215,832 2,404,809 11,002 185,403 1,283,769 79,670 6,792,123 4,649 83,889 1,886 7,911 32,082 1,442,102 16,977 2,422,187 2,899 1,278,377 1,218 6,947,891
influence.c_accumulate_influence_line285.novec 1,473,797 33,700 1,493,403 9,813 257,811 9,355,228 6,882,308 14,239,449 0 74 4.695878 0 0 0 0 536 536 4.743270 210,163 2,417,549 11,494 185,674 1,280,688 77,144 6,708,536 3,167 82,213 2,024 8,493 31,409 1,448,638 17,547 2,413,952 2,885 1,278,890 1,228 6,933,910
influence.c_accumulate_influence_line296.novec 1,241,921 30,908 1,432,946 8,470 231,640 8,597,692 6,003,567 12,096,864 0 65 4.268828 0 0 0 0 530 530 4.337549 210,069 2,146,706 11,190 181,580 1,101,513 70,252 6,398,326 4,196 77,587 2,141 7,373 30,239 1,224,905 15,701 2,156,704 2,720 1,091,732 1,043 5,993,208
